nome,apadrinhamento,registrocnpj,interesseregularizar,bairro,cidade,formato,refeicoesquant,diassemana,melhordia
Ilê Mãe Oxum Docô,FONSANPOTMA,Não,Não,Partenon,Porto Alegre,"Marmita,Refeições coletivas",1.200,3,Quinta
Alexsandro Ferreira da Silva,FONSANPOTMA,Não,Não,Partenon,Porto Alegre,Marmita,250,2,Quinta
Tempero do Axe,UAMPA,Não,Não,Partenon,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,5.000,6,"Segunda, Terça, Quarta, Quinta, Sexta, Sábado"
Sociedade Africankata Reino de Oya e Xango,UAMPA,Não,Não,Partenon,Porto Alegre,Marmita,1.800,6,"Segunda, Terça, Quarta, Quinta, Sexta"
Ong Tia Silvia,CUT Comunidades,Não,Não,Passo das Pedras,Porto Alegre,Marmita,600,3,Quinta
Cozinha Zumbi Vive,Multiplicidade,Não,Não,Passo das Pedras,Porto Alegre,As pessoas levam seus potes/vasilhas/pratos,100,1,Terça
Utt Bara Lana e Oya Dada,FONSANPOTMA,Sim,Não,Passo das Pedras,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",200,2,"Quinta, Sexta"
Ilê Axé Ogum é Oxum,FONSANPOTMA,Não,Não,Passo do Feijó,Alvorada,Marmita,2.000,5,"Segunda, Quinta"
Yle Xangô Agodo Fraternidade Jurema,FONSANPOTMA,Não,Não,Pedras Brancas,Guaíba,Refeições coletivas,150,2,Quinta
Yle Ogum e Oxalá,FONSANPOTMA,Não,Não,Piratini,Alvorada,Marmita,1.000,5,Quinta
Casa Pai Xangô Aganjú,FONSANPOTMA,Não,Não,Restinga,Porto Alegre,Marmita,150,1,Quinta
José Luis Vieira Ventura,FONSANPOTMA,Sim,Não,Restinga,Porto Alegre,Marmita,100,5,Quinta
Tia Neusi Andrades Cozinha,MNLM,Não,Não,Restinga,Porto Alegre,Marmita,2.400,6,Sexta
Marta de Matos Fontoura,FONSANPOTMA,Não,Não,Restinga,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",200,2,Quinta
Ilê Tenda dos Orixas,FONSANPOTMA,Não,Não,Restinga,Porto Alegre,Refeições coletivas,400,2,Quinta
Cozinha Comunitária Vida Nova,União Nacional por moradia popular,Não,Não,Restinga,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",250,2,Quinta
Cozinha Comunitária Mulheres do Guerreiro,União Nacional por moradia popular,Não,Sim,Restinga,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",300,2,Quinta
Cozinha Comunitária Nossa Senhora da Conceição,União Nacional por moradia popular,Não,Não,Restinga,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",300,2,Quinta
Amar,Ação cidadania,Sim,Não,Restinga,Porto Alegre,Marmita,600,2,"Segunda, Terça, Quarta, Quinta, Sexta"
Associação Grupo Marias,Fórum fome zero,Não,Não,Restinga,Porto Alegre,Marmita,101,1,Quarta
Centro Africano Pai Lodê,FONSANPOTMA,Não,Não,Restinga,Porto Alegre,"Marmita,Refeições coletivas",200,3,Quinta
Maior Escritor do Mundo e Deus,UAMPA,Sim,Não,Restinga,Porto Alegre,Marmita,600,1,Quarta
Cozinha Solidária Juntos Somos Mais,UAMPA,Não,Sim,Restinga,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",600,5,Sexta
Prato Cheio,MTD,Não,Não,Rio Branco Canoas,Canoas,"Marmita,As pessoas levam seus potes/vasilhas/pratos",600,3,Segunda
Yle Oxalá Dacum,FONSANPOTMA,Não,Sim,Rubem Berta,Porto Alegre,Marmita,900,6,Quinta
Cozinha Emi,FONSANPOTMA,Não,Sim,Rubem Berta,Porto Alegre,Marmita,600,5,Quinta
Yle Xangô Bedi,FONSANPOTMA,Não,Sim,Rubem Berta,Porto Alegre,Marmita,600,7,Quinta
Adriele Amaral,FONSANPOTMA,Sim,Não,Rubem Berta,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",300,2,"Quarta, Quinta"
Cozinha Solidária de Rosa Caveira,FONSANPOTMA,Não,Não,Rubem Berta,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",300,3,"Segunda, Quinta, Sexta, Sábado"
Mãe Claudia,CUT Comunidades,Não,Não,Rubem Berta,Porto Alegre,Marmita,600,3,Quinta
Cozinha Popular Rubem Berta,FESANS,Não,Não,Rubem Berta,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",1.400,7,Sexta
Cozinha Solidária Sagrada Família,MTD,Não,Não,Sagrada Familia,Gravataí,Refeições coletivas,120,2,"Terça, Quinta"
Portal dos Pinheiros,MTD,Não,Não,Sagrada Familia,Gravataí,As pessoas levam seus potes/vasilhas/pratos,80,2,Quinta
Cozinha do Povo,Ação cidadania,Não,Não,Santa Cecília,Viamão,Marmita,800,5,"Segunda, Quarta"
Centro de Cultura Negra Brasil Estrangeiro,FONSANPOTMA,Sim,Não,Santa Cecília,Viamão,"Marmita,As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",200,2,Sexta
Yle Africano Pai Ossanha Capangueiros de Jurema,FONSANPOTMA,Não,Não,Santa Isabel,Viamão,"Marmita,Refeições coletivas",1.200,0,"Segunda, Quarta"
Oxum Miuá,FONSANPOTMA,Não,Não,Santa Isabel,Viamão,"Marmita,Refeições coletivas",600,6,"Segunda, Quarta, Quinta"
Yle Ogun e Oxum,FONSANPOTMA,Não,Não,Santa Isabel,Viamão,"As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",300,1,"Terça, Quinta, Sexta"
Marieti Pacheco Fialho,FONSANPOTMA,Sim,Não,Santa Rosa de Lima,Porto Alegre,Marmita,300,5,"Segunda, Terça"
